Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Total_Relationship_Count,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Ct
Existing Customer,44,F,4,High School,Single,$40K - $60K,Blue,6,7881,2517,3068,77
Existing Customer,57,M,5,High School,Married,$80K - $120K,Blue,4,13427,0,1337,27
Existing Customer,37,M,2,Uneducated,Divorced,$80K - $120K,Blue,3,2281,1677,2735,58
Existing Customer,57,M,2,Uneducated,Married,$80K - $120K,Blue,6,10974,0,1327,26
Attrited Customer,33,M,1,Unknown,Married,$60K - $80K,Blue,1,8925,168,741,10
Existing Customer,46,M,2,High School,Married,$60K - $80K,Blue,4,5265,0,3281,68
Attrited Customer,45,F,2,High School,Divorced,Unknown,Blue,6,17156,2517,1142,33
Existing Customer,53,M,1,Unknown,Married,$80K - $120K,Blue,4,13457,1248,1548,41
Existing Customer,52,M,0,Unknown,Married,$60K - $80K,Blue,3,2742,2184,3829,72
Existing Customer,34,M,1,Unknown,Married,$60K - $80K,Blue,3,3890,2286,1889,51
Existing Customer,55,M,3,Graduate,Single,$80K - $120K,Blue,6,17198,0,4042,62
Existing Customer,53,M,4,High School,Married,$120K +,Blue,6,3401,1713,1924,54
Existing Customer,37,M,1,Unknown,Married,$60K - $80K,Blue,6,18951,1243,2874,58
Existing Customer,58,F,3,Unknown,Single,$40K - $60K,Blue,4,1454,888,3060,56
Existing Customer,33,M,3,High School,Married,$120K +,Blue,6,27499,1188,2202,46
Existing Customer,39,M,3,Graduate,Married,$120K +,Blue,3,32964,2231,3094,45
Existing Customer,37,F,2,High School,Single,Less than $40K,Blue,5,7411,633,2761,77
Existing Customer,32,M,0,Uneducated,Single,$40K - $60K,Blue,4,7200,0,3006,83
Existing Customer,26,F,1,Uneducated,Single,Unknown,Blue,6,12007,956,2678,50
Existing Customer,60,F,0,Graduate,Married,Less than $40K,Blue,4,3147,1602,1558,23
Existing Customer,37,M,1,Graduate,Single,$80K - $120K,Blue,6,5110,1942,3028,76
Existing Customer,43,F,5,Graduate,Married,Less than $40K,Blue,3,5438,2214,5029,75
Existing Customer,56,M,1,Uneducated,Married,$80K - $120K,Blue,6,17450,2193,1426,38
Existing Customer,52,M,3,College,Married,$80K - $120K,Blue,3,18352,1509,1454,29
Existing Customer,34,M,2,Uneducated,Single,$120K +,Blue,3,5030,2326,3345,69
Existing Customer,47,M,1,Unknown,Divorced,$80K - $120K,Silver,3,34516,802,1823,27
Existing Customer,26,M,0,Graduate,Single,Less than $40K,Blue,4,1585,1535,2299,49
Existing Customer,54,M,1,High School,Married,$120K +,Blue,5,3251,1919,1406,31
Existing Customer,35,F,3,Uneducated,Single,Less than $40K,Blue,3,2858,1251,2844,73
Existing Customer,52,M,1,Unknown,Married,$80K - $120K,Silver,6,34516,1847,3284,65
Existing Customer,41,M,3,Graduate,Single,$60K - $80K,Blue,4,16443,1363,4252,64
Existing Customer,36,F,0,Uneducated,Divorced,Less than $40K,Blue,3,3687,1655,2448,63
Existing Customer,53,F,1,Graduate,Married,Less than $40K,Blue,5,4840,2517,1637,22
Existing Customer,42,M,3,Unknown,Single,$120K +,Blue,6,15108,0,3738,68
Existing Customer,54,M,1,College,Married,$60K - $80K,Blue,6,1909,1753,1457,24
Existing Customer,53,M,3,Post-Graduate,Single,$80K - $120K,Blue,5,19063,1236,3393,58
Existing Customer,36,M,2,High School,Married,$80K - $120K,Blue,4,15982,1691,1687,40
Existing Customer,42,M,3,Graduate,Single,$60K - $80K,Blue,6,1438.3,0,1794,45
Existing Customer,27,F,2,College,Divorced,Less than $40K,Blue,4,2549,2130,2605,61
Existing Customer,58,M,4,Graduate,Married,$60K - $80K,Blue,6,5967,2350,1426,29
Existing Customer,59,M,1,Uneducated,Married,$40K - $60K,Blue,5,2182,1558,1660,34
Existing Customer,63,F,2,Graduate,Married,Less than $40K,Blue,5,2689,2101,1188,35
Existing Customer,57,M,2,Uneducated,Single,$80K - $120K,Blue,6,30622,0,3600,66
Existing Customer,56,F,0,High School,Married,Unknown,Blue,4,4203,1965,1425,32
Existing Customer,42,F,3,Unknown,Single,Less than $40K,Blue,6,6453,0,4822,74
Existing Customer,29,F,1,High School,Single,Less than $40K,Blue,3,3318,927,3011,83
Existing Customer,44,M,2,Unknown,Unknown,$60K - $80K,Blue,5,22075,1506,2337,40
Existing Customer,33,M,1,College,Married,$40K - $60K,Blue,3,6746,1750,2962,54
Existing Customer,35,M,2,Graduate,Married,$80K - $120K,Blue,5,4408,1463,2001,49
Existing Customer,33,F,3,Graduate,Single,Less than $40K,Blue,5,4838,1338,2641,67
Existing Customer,46,M,4,Graduate,Single,$80K - $120K,Silver,5,34516,0,3568,57
Existing Customer,27,M,0,Unknown,Married,$40K - $60K,Blue,4,3823,2130,2026,49
Existing Customer,42,M,3,College,Unknown,$120K +,Blue,3,21670,2183,4121,81
Existing Customer,53,M,2,Graduate,Married,$60K - $80K,Blue,6,7928,1228,1537,37
Existing Customer,50,M,3,Graduate,Single,$120K +,Blue,3,33996,949,3569,77
Existing Customer,48,F,5,College,Divorced,$40K - $60K,Blue,3,4365,0,3542,57
Existing Customer,57,M,2,High School,Single,$60K - $80K,Blue,6,2248,0,4439,77
Existing Customer,34,F,2,Graduate,Single,Less than $40K,Blue,4,1901,1176,2450,52
Existing Customer,55,M,2,College,Single,$80K - $120K,Silver,3,34516,1433,1966,31
Existing Customer,58,M,2,Graduate,Married,$120K +,Blue,6,31680,1812,1121,25
Existing Customer,55,F,3,Graduate,Married,Less than $40K,Blue,3,1872,1167,2238,45
Existing Customer,48,F,2,Uneducated,Unknown,Less than $40K,Blue,3,2055,0,3656,63
Existing Customer,45,M,2,College,Divorced,$40K - $60K,Blue,5,10991,1328,3692,60
Existing Customer,59,M,0,Uneducated,Married,Less than $40K,Blue,6,3939,2517,1489,34
Existing Customer,53,F,2,Post-Graduate,Married,$40K - $60K,Blue,5,2127,1995,1363,37
Existing Customer,47,M,4,Uneducated,Single,$80K - $120K,Blue,3,34010,1340,1739,39
Existing Customer,43,F,3,Unknown,Married,Unknown,Blue,4,6971,1506,3575,67
Existing Customer,33,F,1,Post-Graduate,Married,Less than $40K,Blue,6,1741,1328,2629,61
Existing Customer,49,F,2,Post-Graduate,Single,Unknown,Blue,3,24904,0,5176,71
Attrited Customer,54,F,1,Graduate,Single,Less than $40K,Blue,3,1438.3,0,1603,39
Existing Customer,65,M,0,High School,Married,Less than $40K,Blue,6,2621,1858,2148,47
Existing Customer,49,F,5,Graduate,Married,$40K - $60K,Blue,5,11115,1292,3956,74
Existing Customer,47,M,5,Unknown,Single,$80K - $120K,Blue,6,13241,0,3157,76
Existing Customer,51,M,4,High School,Married,$80K - $120K,Blue,6,14438,2517,2090,47
Existing Customer,36,M,3,High School,Single,$80K - $120K,Blue,6,5228,1443,2683,62
Existing Customer,36,M,2,Graduate,Married,$60K - $80K,Blue,3,5550,1518,2540,62
Existing Customer,46,M,1,Graduate,Unknown,$40K - $60K,Blue,4,1438.3,890,2928,48
Existing Customer,62,F,0,Unknown,Married,Less than $40K,Blue,3,2064,1282,1475,27
Existing Customer,30,F,1,College,Single,Less than $40K,Blue,4,3450,2517,2545,64
Existing Customer,46,M,4,Graduate,Married,$120K +,Silver,4,34516,1380,2163,56
Existing Customer,41,M,4,Uneducated,Divorced,$80K - $120K,Blue,6,30030,2028,1828,38
Existing Customer,50,M,1,Uneducated,Married,$40K - $60K,Blue,5,2151,1163,2513,62
Existing Customer,53,M,2,Unknown,Married,$80K - $120K,Blue,4,7181,2517,1636,39
Existing Customer,55,M,2,Uneducated,Married,$120K +,Blue,3,27745,1300,1525,21
Existing Customer,49,F,4,High School,Married,Less than $40K,Blue,4,4852,2016,3561,73
Existing Customer,56,M,1,Graduate,Married,$60K - $80K,Blue,6,6735,2289,1249,28
Existing Customer,63,M,1,Graduate,Married,$40K - $60K,Blue,4,6128,1895,1700,42
Existing Customer,41,M,4,High School,Unknown,$80K - $120K,Blue,4,23124,1746,1959,50
Existing Customer,34,M,2,Unknown,Married,$40K - $60K,Blue,3,3436,1650,1972,37
Existing Customer,35,M,0,Unknown,Married,$120K +,Blue,5,3176,1510,2074,48
Existing Customer,44,M,4,College,Unknown,$120K +,Blue,5,8874,1590,1849,56
Existing Customer,38,F,3,Graduate,Married,Less than $40K,Blue,5,3402,1813,1767,28
Existing Customer,52,M,1,Graduate,Married,$80K - $120K,Blue,6,2689,2077,1356,33
Existing Customer,54,M,3,Uneducated,Married,Less than $40K,Blue,3,1556,1278,1615,35
Existing Customer,58,F,2,High School,Single,$40K - $60K,Blue,3,7372,1210,1707,56
Existing Customer,26,M,0,College,Unknown,Less than $40K,Blue,6,5713,789,3323,61
Existing Customer,27,F,1,Post-Graduate,Single,Less than $40K,Blue,4,2965,1635,2553,59
Existing Customer,33,M,1,Unknown,Married,$80K - $120K,Blue,3,9819,1200,2198,40
Existing Customer,32,M,0,Uneducated,Single,$60K - $80K,Blue,4,8186,0,2411,67
Existing Customer,58,F,1,College,Married,Less than $40K,Blue,3,3846,1285,1815,47
Existing Customer,45,F,4,Uneducated,Unknown,Less than $40K,Silver,5,13131,1965,1795,37
Existing Customer,48,F,3,High School,Single,Less than $40K,Blue,4,2944,753,3457,61
Existing Customer,38,M,2,Post-Graduate,Single,$60K - $80K,Silver,3,34516,1954,1872,52
Existing Customer,54,M,2,High School,Married,$80K - $120K,Blue,6,5660,2006,1569,39
Existing Customer,40,F,1,Graduate,Unknown,Less than $40K,Blue,5,7554,1848,4150,64
Existing Customer,35,F,4,Uneducated,Married,Less than $40K,Blue,5,2494,1316,2946,57
Existing Customer,31,M,1,College,Married,$80K - $120K,Blue,4,25215,1445,2588,48
Existing Customer,40,F,4,College,Married,$40K - $60K,Blue,5,2606,1818,1999,50
Existing Customer,52,M,0,Graduate,Single,$80K - $120K,Blue,4,8133,1942,3310,76
Existing Customer,57,F,1,High School,Married,Less than $40K,Blue,6,3101,1257,1681,32
Existing Customer,48,M,2,Graduate,Divorced,$80K - $120K,Blue,6,24446,1854,3897,75
Existing Customer,49,M,3,High School,Married,$80K - $120K,Blue,5,2361,1342,4316,78
Existing Customer,40,M,4,High School,Single,$40K - $60K,Blue,6,2441,1656,3903,62
Existing Customer,45,M,2,Graduate,Married,$40K - $60K,Blue,5,8532,2165,3242,63
Existing Customer,41,M,3,Unknown,Married,$80K - $120K,Blue,5,16954,1588,3411,60
Existing Customer,36,M,2,Graduate,Single,$80K - $120K,Blue,4,2900,2029,2631,72
Existing Customer,37,F,1,Graduate,Single,Less than $40K,Blue,6,6827,0,2621,49
Existing Customer,44,F,3,College,Divorced,$40K - $60K,Blue,5,4513,1950,3164,62
Existing Customer,52,M,2,College,Married,$120K +,Blue,3,27347,719,4040,77
Existing Customer,42,F,3,High School,Married,Less than $40K,Blue,4,1676,1372,4381,77
Existing Customer,62,F,1,Graduate,Married,Less than $40K,Blue,6,2802,1977,1757,33
Attrited Customer,49,M,3,Post-Graduate,Married,$80K - $120K,Blue,3,23870,0,1885,39
Existing Customer,30,F,0,Graduate,Single,Less than $40K,Blue,3,4868,1090,2907,69
Existing Customer,50,M,3,Uneducated,Single,$60K - $80K,Blue,5,20437,1020,4166,66
Existing Customer,32,M,2,High School,Divorced,$60K - $80K,Blue,6,2239,1338,2466,60
Existing Customer,32,F,1,Graduate,Single,Less than $40K,Blue,6,2428,1027,3007,84
Existing Customer,49,M,3,Post-Graduate,Single,$60K - $80K,Blue,3,15027,0,3533,59
Existing Customer,37,M,2,Doctorate,Single,$120K +,Blue,3,32056,1887,2730,68
Existing Customer,42,F,3,College,Single,Unknown,Silver,3,34516,919,3415,79
Existing Customer,36,M,2,Unknown,Single,$80K - $120K,Blue,3,5346,1539,2283,51
Attrited Customer,52,F,4,Unknown,Married,Less than $40K,Blue,1,2143,0,1353,36
Existing Customer,48,M,3,Uneducated,Single,$60K - $80K,Gold,5,34516,2317,3927,68
Existing Customer,29,M,1,Unknown,Single,$60K - $80K,Blue,3,23507,1990,2650,65
Existing Customer,33,F,3,Post-Graduate,Married,$40K - $60K,Blue,5,1864,1081,2607,44
Existing Customer,36,M,2,College,Single,$60K - $80K,Blue,5,23032,840,2787,73
Existing Customer,36,F,4,High School,Married,Less than $40K,Blue,4,4277,1578,1855,49
Existing Customer,56,F,2,High School,Married,$40K - $60K,Blue,5,2771,1446,1706,27
Existing Customer,28,M,1,High School,Divorced,Less than $40K,Blue,5,2265,1935,2306,61
Existing Customer,31,F,2,Uneducated,Divorced,Less than $40K,Blue,6,2853,1961,2697,68
Existing Customer,44,F,3,Uneducated,Single,Less than $40K,Blue,5,3075,2517,3534,53
Existing Customer,51,F,3,High School,Married,Unknown,Blue,5,15340,2331,2965,51
Existing Customer,55,M,3,Graduate,Single,$40K - $60K,Blue,4,3065,0,3524,69
Existing Customer,34,F,2,Doctorate,Single,Less than $40K,Blue,3,1438.3,0,3044,91
Existing Customer,61,F,0,Graduate,Single,$40K - $60K,Blue,4,7118,813,3964,66
Existing Customer,37,M,2,Uneducated,Single,$60K - $80K,Blue,4,11419,2517,3000,70
Existing Customer,46,M,3,Graduate,Married,$40K - $60K,Blue,6,2403,0,3393,64
Existing Customer,47,F,3,Uneducated,Married,Less than $40K,Blue,4,2821,951,1452,38
Existing Customer,54,M,1,Graduate,Married,$40K - $60K,Blue,4,2706,2517,1682,39
Existing Customer,50,F,3,Unknown,Single,Less than $40K,Blue,6,2999,1958,2073,48
Existing Customer,36,F,4,High School,Single,Less than $40K,Blue,5,2226,1607,2660,62
Existing Customer,37,M,5,Graduate,Married,$60K - $80K,Blue,5,3351,1847,1910,43
Existing Customer,47,M,4,College,Divorced,$40K - $60K,Blue,5,5570,1858,4129,72
Existing Customer,54,M,3,Unknown,Married,$80K - $120K,Blue,3,10448,1569,1604,39
Existing Customer,64,F,0,High School,Married,Less than $40K,Blue,6,2174,1397,1755,39
Existing Customer,48,M,3,Graduate,Married,$80K - $120K,Blue,3,31501,0,3742,75
Existing Customer,35,M,2,Uneducated,Single,$60K - $80K,Blue,6,21695,1257,2266,74
Existing Customer,49,M,2,Unknown,Married,$80K - $120K,Blue,3,34516,2435,1805,34
Existing Customer,42,M,5,Unknown,Married,$60K - $80K,Blue,6,13650,1253,1703,53
Existing Customer,49,M,0,Uneducated,Single,$80K - $120K,Blue,5,16156,2517,4160,81
Existing Customer,53,F,2,Graduate,Married,Less than $40K,Blue,6,2413,2015,1398,24
Existing Customer,56,M,2,High School,Married,$80K - $120K,Blue,3,5920,1589,1408,28
Existing Customer,41,M,3,College,Single,$60K - $80K,Blue,6,5841,2463,3817,81
Existing Customer,37,M,3,High School,Single,$60K - $80K,Blue,3,8418,2051,2879,63
Existing Customer,30,M,0,High School,Married,Less than $40K,Blue,5,2490,1259,2441,53
Existing Customer,45,M,3,Post-Graduate,Married,$80K - $120K,Blue,3,20640,1603,1792,53
Existing Customer,54,M,1,High School,Married,$60K - $80K,Blue,5,9453,2188,1688,45
Existing Customer,46,M,2,Graduate,Married,$60K - $80K,Blue,4,7949,1514,3355,58
Existing Customer,36,F,4,College,Single,Less than $40K,Blue,3,2758,2168,3073,86
Existing Customer,48,M,2,Doctorate,Single,$120K +,Blue,5,20148,1084,3921,74
Existing Customer,59,F,0,Doctorate,Single,Less than $40K,Blue,3,1438.3,0,1904,47
Existing Customer,60,M,1,Uneducated,Single,$80K - $120K,Blue,6,26566,2517,3103,65
Existing Customer,44,M,5,Graduate,Single,$60K - $80K,Blue,3,13477,2057,3866,67
Existing Customer,65,M,0,College,Divorced,Less than $40K,Blue,5,9706,1968,3435,58
Existing Customer,46,F,3,Graduate,Single,$40K - $60K,Blue,5,7457,0,3162,64
Existing Customer,48,M,4,Graduate,Married,$80K - $120K,Silver,6,34516,807,3937,80
Existing Customer,53,M,3,High School,Married,$120K +,Blue,5,19081,2431,1536,31
Existing Customer,53,F,3,Uneducated,Married,Unknown,Blue,6,2447,1558,1716,38
Existing Customer,41,M,2,High School,Single,$80K - $120K,Blue,4,28830,0,3533,57
Existing Customer,37,F,4,High School,Divorced,$40K - $60K,Blue,5,2563,1638,2064,46
Existing Customer,29,F,0,High School,Single,Less than $40K,Blue,6,5240,1608,2712,64
Existing Customer,49,F,2,Doctorate,Married,Less than $40K,Blue,4,3397,1962,3295,66
Existing Customer,47,M,3,Doctorate,Single,Less than $40K,Blue,4,1842,0,4165,67
Existing Customer,53,F,1,Unknown,Married,Less than $40K,Blue,4,2383,1938,1616,37
Existing Customer,33,M,2,Graduate,Divorced,$60K - $80K,Blue,5,20791,0,2883,93
Existing Customer,34,M,1,Graduate,Unknown,$60K - $80K,Blue,5,19900,1581,3948,96
Existing Customer,28,F,0,Graduate,Single,Unknown,Silver,3,32024,1232,2507,64
Existing Customer,36,F,3,Graduate,Single,$40K - $60K,Blue,3,3701,969,3222,86
Existing Customer,30,F,2,Graduate,Single,Less than $40K,Blue,3,4199,1903,3016,67
Existing Customer,34,M,3,High School,Single,$40K - $60K,Blue,4,4353,1655,2664,81
Attrited Customer,38,F,4,College,Married,$40K - $60K,Blue,4,4913,2517,899,28
Existing Customer,39,F,4,Post-Graduate,Married,Less than $40K,Blue,3,5454,1108,2674,67
Existing Customer,32,F,0,Graduate,Married,Unknown,Blue,3,2172,1381,2945,69
Existing Customer,36,M,2,Doctorate,Single,$40K - $60K,Blue,4,2845,2517,2396,51
Existing Customer,37,F,3,High School,Single,Unknown,Blue,3,18570,1524,3999,96
Existing Customer,45,M,4,Uneducated,Married,$60K - $80K,Silver,5,25907,745,2058,56
Existing Customer,38,F,3,Uneducated,Single,Less than $40K,Blue,5,2206,2018,1739,35
Existing Customer,31,M,0,Graduate,Single,$40K - $60K,Blue,3,12050,1732,2015,46
Existing Customer,65,M,0,High School,Unknown,Less than $40K,Blue,3,2107,1008,3913,67
Existing Customer,63,F,0,Graduate,Married,Less than $40K,Blue,6,2107,1351,1320,35
Existing Customer,65,M,1,Graduate,Married,Less than $40K,Blue,3,3539,2517,1463,31
Existing Customer,43,F,3,College,Married,Unknown,Blue,3,27175,775,3814,72
Existing Customer,51,M,1,Graduate,Married,$40K - $60K,Silver,6,17905,980,4399,64
Existing Customer,37,M,3,Graduate,Married,$60K - $80K,Blue,3,4940,1199,3246,57
Existing Customer,55,F,1,Graduate,Married,Unknown,Blue,5,3161,1389,1547,30
Existing Customer,27,M,0,Uneducated,Single,$60K - $80K,Blue,4,2464,0,2636,50
Existing Customer,34,F,0,High School,Married,$40K - $60K,Blue,5,3203,2229,2625,52
Existing Customer,32,F,1,College,Divorced,Less than $40K,Blue,3,1835,1017,2801,79
Existing Customer,49,F,5,Uneducated,Single,Less than $40K,Blue,3,1993,0,4075,76
Existing Customer,39,M,2,Unknown,Married,$80K - $120K,Blue,3,34516,1629,3448,53
Existing Customer,27,M,0,Post-Graduate,Single,Unknown,Blue,5,7130,873,2498,37
Existing Customer,30,M,1,Uneducated,Divorced,Unknown,Blue,5,12539,910,2643,72
Existing Customer,39,M,4,High School,Married,$80K - $120K,Blue,6,8208,0,3135,39
Existing Customer,42,M,2,Doctorate,Married,$80K - $120K,Blue,4,26222,1073,1988,30
Existing Customer,55,M,4,College,Divorced,$80K - $120K,Blue,4,34173,1194,3731,69
Existing Customer,57,F,2,Graduate,Married,$40K - $60K,Blue,5,3377,1720,1621,32
Existing Customer,53,M,2,Graduate,Married,$120K +,Blue,6,5882,2335,1380,30
Existing Customer,51,M,0,Graduate,Married,$80K - $120K,Blue,4,7158,0,2113,60
Existing Customer,47,M,3,Graduate,Married,Less than $40K,Blue,6,5833,1747,3732,75
Existing Customer,26,F,0,High School,Single,$40K - $60K,Blue,6,4152,0,2351,42
Existing Customer,37,M,2,High School,Single,$40K - $60K,Blue,6,11699,1758,2007,46
Existing Customer,45,F,2,Uneducated,Single,$40K - $60K,Blue,6,4505,1562,3968,68
Existing Customer,55,M,2,Uneducated,Single,$60K - $80K,Blue,6,7667,1193,3915,76
Existing Customer,37,M,4,Graduate,Single,$120K +,Blue,3,34516,0,2574,62
Existing Customer,36,F,3,Graduate,Single,Less than $40K,Blue,3,2937,2159,2511,51
Existing Customer,36,F,1,High School,Single,Less than $40K,Blue,5,5257,1572,2822,73
Existing Customer,39,M,2,High School,Single,$60K - $80K,Blue,6,10331,957,3695,81
Existing Customer,47,M,4,Uneducated,Married,$60K - $80K,Blue,3,17557,0,2142,62
Existing Customer,56,F,2,Graduate,Married,Less than $40K,Blue,6,4366,1590,1596,37
Existing Customer,56,F,4,Uneducated,Single,Unknown,Blue,6,8037,2276,3271,71
Existing Customer,38,M,2,Unknown,Married,Less than $40K,Blue,4,8740,734,2169,38
Existing Customer,49,M,3,Graduate,Single,$120K +,Blue,6,8514,2013,4098,74
Existing Customer,36,F,4,Uneducated,Single,Less than $40K,Blue,4,2002,1377,2411,60
Existing Customer,51,F,0,High School,Married,Less than $40K,Blue,5,3132,1815,3607,60
Existing Customer,26,F,0,College,Married,$40K - $60K,Blue,2,2010,1070,3625,85
Existing Customer,34,M,2,Graduate,Married,$80K - $120K,Blue,6,7567,1776,2361,45
Attrited Customer,56,M,2,High School,Single,$40K - $60K,Blue,2,2381,651,1920,46
Existing Customer,43,M,2,Graduate,Married,$120K +,Silver,6,34516,2398,4976,88
Existing Customer,47,F,3,Uneducated,Single,Unknown,Blue,6,16411,1179,3929,71
Existing Customer,42,F,4,High School,Single,Less than $40K,Blue,3,1438.3,0,3786,67
Existing Customer,38,M,2,College,Married,$80K - $120K,Blue,2,3735,1421,1837,47
Existing Customer,55,M,2,Post-Graduate,Single,$60K - $80K,Blue,3,22127,1799,3591,63
Existing Customer,28,F,0,College,Married,Unknown,Blue,3,5685,0,2395,62
Existing Customer,62,M,0,Uneducated,Single,$40K - $60K,Blue,3,7348,1466,3066,61
Attrited Customer,52,M,2,Doctorate,Married,$120K +,Blue,3,11188,0,2109,47
Existing Customer,44,M,3,Unknown,Single,$120K +,Blue,3,3650,2512,4599,75
Existing Customer,29,F,0,Post-Graduate,Single,Less than $40K,Blue,5,5076,1223,2675,57
Existing Customer,48,M,4,Doctorate,Unknown,$60K - $80K,Silver,3,32658,1482,2023,37
Existing Customer,43,M,3,Uneducated,Married,$80K - $120K,Blue,6,28634,926,4549,68
Existing Customer,49,F,2,Post-Graduate,Single,Less than $40K,Blue,3,3414,1473,1803,49
Existing Customer,43,M,3,High School,Married,$80K - $120K,Blue,5,12315,0,2028,51
Existing Customer,41,F,2,Uneducated,Married,$40K - $60K,Blue,5,2690,1912,3636,68
Existing Customer,43,M,3,Graduate,Single,$80K - $120K,Blue,6,12165,0,4066,74
Existing Customer,51,F,3,Graduate,Single,Less than $40K,Blue,4,1792,989,3102,63
Existing Customer,37,M,1,Doctorate,Single,$80K - $120K,Blue,6,19300,1181,2660,70
Existing Customer,37,M,2,College,Divorced,$40K - $60K,Blue,3,8120,2098,3161,54
Existing Customer,49,M,5,High School,Married,$80K - $120K,Blue,6,2292,0,2584,60
Existing Customer,36,M,3,Uneducated,Married,$80K - $120K,Blue,6,21434,1345,2143,46
Existing Customer,50,F,2,Graduate,Unknown,Less than $40K,Blue,5,3424,0,4929,74
Existing Customer,64,M,0,Unknown,Married,Less than $40K,Blue,3,2787,1201,1662,39
Existing Customer,36,F,3,College,Single,Unknown,Blue,3,8696,1482,2847,67
Existing Customer,45,M,3,High School,Married,$120K +,Blue,6,32446,1974,1717,39
Existing Customer,41,M,2,Graduate,Married,$80K - $120K,Blue,6,9133,2140,4101,88
Existing Customer,47,M,3,Graduate,Single,$80K - $120K,Blue,3,5116,1468,2361,49
Existing Customer,39,M,2,Post-Graduate,Married,$80K - $120K,Blue,5,18974,2517,2783,56
Existing Customer,51,M,4,Uneducated,Single,$120K +,Blue,6,12101,2517,2086,44
Existing Customer,55,F,1,High School,Single,$40K - $60K,Blue,5,5379,962,1778,40
Existing Customer,57,M,3,Graduate,Single,$120K +,Blue,5,32676,2134,3990,88
Existing Customer,36,M,4,Doctorate,Divorced,$120K +,Blue,4,34516,1491,2243,60
Existing Customer,35,M,2,Unknown,Married,$120K +,Blue,4,15202,1779,3143,60
Existing Customer,38,F,2,Unknown,Single,Less than $40K,Blue,5,2222,1205,1823,49
Existing Customer,39,F,2,Graduate,Single,$40K - $60K,Blue,5,5858,0,3355,77
Existing Customer,65,F,0,Graduate,Married,$40K - $60K,Blue,4,2692,1869,1594,36
Existing Customer,51,F,2,Uneducated,Married,Less than $40K,Blue,6,7165,2037,3553,78
Existing Customer,50,F,3,High School,Married,Less than $40K,Blue,4,1438.3,0,4740,81
Existing Customer,38,M,2,Graduate,Single,$60K - $80K,Silver,5,26988,1587,3732,70
Existing Customer,36,F,1,Unknown,Single,Less than $40K,Blue,3,2517,0,3569,62
Attrited Customer,41,M,3,Uneducated,Married,$40K - $60K,Blue,3,11091,0,1234,34
Existing Customer,40,F,4,Graduate,Single,Less than $40K,Silver,3,10745,2084,3502,87
Existing Customer,40,F,2,Doctorate,Married,Unknown,Silver,3,34516,1686,3146,66
Existing Customer,26,M,1,Unknown,Single,Less than $40K,Blue,6,2590,1748,2804,52
Existing Customer,46,F,4,Uneducated,Single,Less than $40K,Blue,5,2722,1473,3129,69
Existing Customer,49,F,1,Graduate,Married,Less than $40K,Blue,3,8228,0,4277,80
Existing Customer,38,M,2,Unknown,Divorced,$80K - $120K,Blue,6,11777,1781,2763,62
Existing Customer,49,M,4,Graduate,Married,$80K - $120K,Blue,5,34516,543,3951,76
Existing Customer,38,M,3,Graduate,Divorced,$80K - $120K,Blue,5,14821,0,2876,60
Existing Customer,36,M,1,Unknown,Single,Less than $40K,Blue,4,1438.3,928,2186,59
Existing Customer,34,F,2,Unknown,Single,Less than $40K,Blue,6,6131,1270,2825,93
Existing Customer,52,M,5,Graduate,Single,$80K - $120K,Blue,3,2047,665,3452,66
Existing Customer,40,M,3,Graduate,Single,$80K - $120K,Blue,3,22380,1220,3756,73
Existing Customer,36,M,3,Uneducated,Married,$80K - $120K,Blue,3,12893,1620,2300,60
Existing Customer,53,M,3,High School,Single,Less than $40K,Blue,5,3351,1474,4294,66
Existing Customer,40,F,2,Unknown,Married,Less than $40K,Blue,3,5093,2376,2341,57
Existing Customer,54,M,1,Graduate,Married,$40K - $60K,Blue,5,1438.3,0,1585,37
Existing Customer,34,M,4,College,Single,$60K - $80K,Blue,5,2165,1952,2651,81
Existing Customer,62,F,1,Unknown,Single,Less than $40K,Blue,4,1927,1319,4199,77
Existing Customer,39,F,1,College,Single,Unknown,Blue,6,22125,0,1994,57
Existing Customer,50,M,3,Graduate,Married,$120K +,Blue,4,34516,2099,1756,35
Existing Customer,36,M,1,Uneducated,Divorced,$120K +,Blue,6,5260,1116,2546,62
Existing Customer,56,F,1,Graduate,Married,Less than $40K,Blue,6,1438.3,0,1336,32
Attrited Customer,44,F,4,Graduate,Single,$40K - $60K,Blue,3,4333,0,1558,40
Existing Customer,45,M,4,College,Married,Less than $40K,Blue,3,6637,0,1801,48
Existing Customer,36,M,2,Graduate,Single,$120K +,Blue,4,3174,2462,3140,74
Existing Customer,44,F,2,Uneducated,Married,Less than $40K,Blue,4,4396,1489,3942,69
Attrited Customer,52,M,2,Graduate,Single,$80K - $120K,Blue,6,34516,0,1661,40
Existing Customer,50,F,3,Graduate,Married,Less than $40K,Blue,3,1438.3,0,3637,80
Existing Customer,53,F,2,Graduate,Single,Less than $40K,Blue,3,6853,1480,2833,70
Existing Customer,36,F,0,Unknown,Married,Less than $40K,Blue,4,2570,2230,1755,42
Existing Customer,27,F,1,College,Divorced,Less than $40K,Blue,5,2166,890,3563,70
Existing Customer,31,F,1,College,Divorced,Unknown,Blue,4,3647,1480,2271,60
